[2026-05-06 09:11:40,140] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.57
[2026-05-06 09:11:40,140] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:11:50,355] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:11:50,356] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:11:50,453] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.52
[2026-05-06 09:11:50,454] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:00,667] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:00,667] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:00,765] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.55
[2026-05-06 09:12:00,766] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:10,979] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:10,979] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:11,076] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.52
[2026-05-06 09:12:11,077] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:21,323] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:21,324] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:21,420] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.44
[2026-05-06 09:12:21,420] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:31,638] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:31,639] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:31,737] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.46
[2026-05-06 09:12:31,737] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:41,957] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:41,957] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:42,053] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.52
[2026-05-06 09:12:42,053] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:12:52,274] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:12:52,276] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:12:52,370] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.5
[2026-05-06 09:12:52,370] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:13:02,583] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:13:02,583] INFO:  >> [SAFE_HANDOVER] Syncing XAUUSD SL to 4619.41605
[2026-05-06 09:13:02,680] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.51 | VEL: 0.5
